mal_id,title,score,rank,popularity,members,episodes,year,type,status,genres,studios,source
31181,Owarimonogatari,8.45,170.0,493,501031,12.0,2015.0,TV,Finished Airing,"Comedy, Mystery, Supernatural",Shaft,Light novel
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,176.0,382,627278,1.0,,Movie,Finished Airing,"Drama, Sci-Fi",White Fox,Visual novel
36649,Banana Fish,8.45,172.0,202,932933,24.0,2018.0,TV,Finished Airing,"Action, Adventure, Drama, Suspense",MAPPA,Manga
50265,Spy x Family,8.45,175.0,60,1785101,12.0,2022.0,TV,Finished Airing,"Action, Award Winning, Comedy","Wit Studio, CloverWorks",Manga
37379,Chihayafuru 3,8.45,173.0,1672,152802,24.0,2019.0,TV,Finished Airing,"Drama, Sports",Madhouse,Manga
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.44,180.0,578,435527,16.0,2024.0,TV,Finished Airing,"Drama, Fantasy, Suspense",White Fox,Light novel
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,179.0,134,1200494,24.0,2015.0,TV,Finished Airing,"Action, Adventure",David Production,Manga
44511,Chainsaw Man,8.44,181.0,58,1801541,12.0,2022.0,TV,Finished Airing,"Action, Fantasy",MAPPA,Manga
37105,Grand Blue,8.44,183.0,233,864391,12.0,2018.0,TV,Finished Airing,Comedy,Zero-G,Manga
51039,Doupo Cangqiong: Nian Fan,8.44,182.0,6667,11077,209.0,,ONA,Currently Airing,"Action, Adventure, Fantasy",Motion Magic,Novel
36999,Zoku Owarimonogatari,8.43,187.0,1090,245497,6.0,2019.0,TV,Finished Airing,"Comedy, Mystery, Supernatural",Shaft,Light novel
136,Hunter x Hunter,8.43,186.0,380,630489,62.0,1999.0,TV,Finished Airing,"Action, Adventure, Fantasy",Nippon Animation,Manga
38000,Kimetsu no Yaiba,8.43,188.0,5,3308163,26.0,2019.0,TV,Finished Airing,"Action, Award Winning, Supernatural",ufotable,Manga
20583,Haikyuu!!,8.43,185.0,36,2109779,25.0,2014.0,TV,Finished Airing,Sports,Production I.G,Manga
40059,Golden Kamuy 3rd Season,8.43,184.0,1398,189564,12.0,2020.0,TV,Finished Airing,"Action, Adventure",Geno Studio,Manga
24687,Mushishi Zoku Shou: Odoro no Michi,8.42,192.0,2178,108556,1.0,,TV Special,Finished Airing,"Adventure, Mystery, Slice of Life, Supernatural",Artland,Manga
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,193.0,2623,81360,1.0,,Movie,Finished Airing,"Slice of Life, Supernatural",Shuka,Manga
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,194.0,175,1015684,12.0,2021.0,TV,Finished Airing,"Drama, Fantasy, Suspense",White Fox,Light novel
38889,Kono Oto Tomare! Part 2,8.42,190.0,1358,195988,13.0,2019.0,TV,Finished Airing,Drama,Platinum Vision,Manga
21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.42,196.0,3522,47841,2.0,,Movie,Finished Airing,"Action, Comedy, Sci-Fi",Sunrise,Manga
49722,Karakai Jouzu no Takagi-san Movie,8.42,189.0,2464,89586,1.0,,Movie,Finished Airing,Romance,Shin-Ei Animation,Manga
467,Koukaku Kidoutai: Stand Alone Complex,8.42,191.0,615,415887,26.0,2002.0,TV,Finished Airing,"Action, Award Winning, Mystery, Sci-Fi",Production I.G,Manga
50330,Bungou Stray Dogs 4th Season,8.42,195.0,774,340526,13.0,2023.0,TV,Finished Airing,"Action, Mystery",Bones,Manga
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,197.0,538,463914,1.0,,Movie,Finished Airing,Drama,Kyoto Animation,Light novel
45556,Wu Liuqi: Xuanwu Guo Pian,8.42,199.0,2659,79320,10.0,,ONA,Finished Airing,"Action, Adventure, Comedy, Drama, Mystery",Sharefun Studio,Original
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.41,206.0,471,516950,12.0,2024.0,TV,Finished Airing,"Adventure, Drama, Fantasy, Ecchi",Studio Bind,Light novel
33255,Saiki Kusuo no Ψ-nan,8.41,200.0,132,1204427,120.0,2016.0,TV,Finished Airing,Comedy,"J.C.Staff, Egg Firm",Manga
34612,Saiki Kusuo no Ψ-nan 2,8.41,201.0,327,696145,24.0,2018.0,TV,Finished Airing,Comedy,"J.C.Staff, Egg Firm",Manga
25781,Shingeki no Kyojin: Kuinaki Sentaku,8.41,202.0,441,550187,2.0,,OVA,Finished Airing,Action,Wit Studio,Visual novel
40730,Tian Guan Cifu,8.41,203.0,1564,168629,11.0,,ONA,Finished Airing,"Action, Adventure, Drama, Fantasy",Haoliners Animation League,Web novel
2246,Mononoke,8.41,205.0,738,356533,12.0,2007.0,TV,Finished Airing,"Horror, Mystery, Supernatural, Suspense",Toei Animation,Original
36885,Saenai Heroine no Sodatekata Fine,8.41,199.0,1332,199289,1.0,,Movie,Finished Airing,"Comedy, Romance",CloverWorks,Light novel
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.41,204.0,241,855560,1.0,,Movie,Finished Airing,"Adventure, Comedy, Fantasy",J.C.Staff,Light novel
36275,Natsume Yuujinchou Roku Specials,8.4,209.0,3347,52531,2.0,,Special,Finished Airing,"Slice of Life, Supernatural",Shuka,Manga
30709,Kamisama Hajimemashita: Kako-hen,8.4,208.0,1466,179817,4.0,,OVA,Finished Airing,"Comedy, Romance, Supernatural",TMS Entertainment,Manga
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,207.0,51,1872587,12.0,2019.0,TV,Finished Airing,"Comedy, Romance",A-1 Pictures,Manga
55809,Xian Ni,8.39,214.0,7494,8344,128.0,,ONA,Currently Airing,"Action, Adventure, Fantasy",BUILD DREAM,Novel
53236,Road of Naruto,8.39,,4014,37642,1.0,,PV,Finished Airing,"Action, Fantasy",Studio Pierrot,Manga
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,213.0,525,475083,1.0,,Movie,Finished Airing,"Drama, Fantasy",P.A. Works,Original
4921,Ramayana: The Legend of Prince Rama,8.39,212.0,5995,14340,1.0,,Movie,Finished Airing,Adventure,Nippon Ramayana Film,Other
35557,Houseki no Kuni,8.39,216.0,492,501430,12.0,2017.0,TV,Finished Airing,"Action, Drama, Fantasy, Mystery",Orange,Manga
5028,Major S5,8.39,211.0,2757,74812,25.0,2009.0,TV,Finished Airing,Sports,SynergySP,Manga
48561,Jujutsu Kaisen 0 Movie,8.39,210.0,141,1151114,1.0,,Movie,Finished Airing,"Action, Supernatural",MAPPA,Manga
50183,Blue Giant,8.39,215.0,3751,42961,1.0,,Movie,Finished Airing,,Nut,Manga
56523,Tunshi Xingkong 3rd Season,8.38,223.0,9649,4331,33.0,,ONA,Finished Airing,"Action, Adventure, Fantasy, Sci-Fi",Sparkly Key Animation Studio,Novel
37515,Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,221.0,1640,156804,1.0,,Movie,Finished Airing,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,Web manga
37965,Kaze ga Tsuyoku Fuiteiru,8.38,220.0,815,325379,23.0,2018.0,TV,Finished Airing,"Drama, Sports",Production I.G,Novel
46095,Vivy: Fluorite Eye's Song,8.38,225.0,413,587405,13.0,2021.0,TV,Finished Airing,"Action, Sci-Fi, Suspense",Wit Studio,Original
40787,Josee to Tora to Sakana-tachi,8.38,219.0,498,497537,1.0,,Movie,Finished Airing,"Drama, Romance",Bones,Novel
9756,Mahou Shoujo Madoka★Magica,8.38,222.0,104,1369375,12.0,2011.0,TV,Finished Airing,"Award Winning, Drama, Suspense",Shaft,Original
32366,Gintama°: Aizome Kaori-hen,8.38,218.0,2441,91070,2.0,,OVA,Finished Airing,Comedy,Bandai Namco Pictures,Manga
5,Cowboy Bebop: Tengoku no Tobira,8.38,217.0,646,401287,1.0,,Movie,Finished Airing,"Action, Sci-Fi",Bones,Original
38475,Yuru Camp△ Movie,8.38,225.0,2443,91011,1.0,,Movie,Finished Airing,Slice of Life,C-Station,Manga
55318,Medalist,8.37,236.0,2860,70367,13.0,2025.0,TV,Finished Airing,"Drama, Sports",ENGI,Manga
55102,Girls Band Cry,8.37,231.0,2020,120955,13.0,2024.0,TV,Finished Airing,Drama,Toei Animation,Original
53672,Violet Evergarden: Recollections,8.37,226.0,3806,41948,1.0,,Special,Finished Airing,Drama,Kyoto Animation,Light novel
5205,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,233.0,1244,215519,1.0,,Movie,Finished Airing,"Action, Fantasy, Mystery, Romance, Suspense",ufotable,Light novel
5941,Cross Game,8.37,229.0,1902,130683,50.0,2009.0,TV,Finished Airing,"Drama, Romance, Sports",SynergySP,Manga
31646,3-gatsu no Lion,8.37,227.0,313,716801,22.0,2016.0,TV,Finished Airing,Drama,Shaft,Manga
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,235.0,1246,215288,1.0,,Movie,Finished Airing,"Drama, Suspense",Shaft,Original
49310,Fruits Basket: Prelude,8.37,231.0,1977,124437,1.0,,Movie,Finished Airing,"Drama, Romance",TMS Entertainment,Manga
38883,Haikyuu!! To the Top,8.37,233.0,174,1018270,13.0,2020.0,TV,Finished Airing,Sports,Production I.G,Manga
49721,Karakai Jouzu no Takagi-san 3,8.37,234.0,1295,205487,12.0,2022.0,TV,Finished Airing,"Comedy, Romance",Shin-Ei Animation,Manga
14397,Chihayafuru 2,8.37,228.0,1083,248326,25.0,2013.0,TV,Finished Airing,"Drama, Sports",Madhouse,Manga
53065,Sono Bisque Doll wa Koi wo Suru Season 2,8.36,242.0,800,331046,12.0,2025.0,TV,Currently Airing,Romance,CloverWorks,Manga
50250,Chiikawa,8.36,243.0,6526,11632,,2022.0,TV,Currently Airing,Slice of Life,Doga Kobo,Web manga
9617,K-On! Movie,8.36,239.0,758,347547,1.0,,Movie,Finished Airing,"Award Winning, Comedy",Kyoto Animation,4-koma manga
39167,Girls & Panzer: Saishuushou Part 4,8.36,245.0,4935,23708,1.0,,Movie,Finished Airing,,Actas,Original
9260,Kizumonogatari I: Tekketsu-hen,8.36,239.0,431,564700,1.0,,Movie,Finished Airing,"Action, Mystery, Supernatural",Shaft,Light novel
6945,Gintama: Shiroyasha Koutan,8.36,244.0,2774,74089,1.0,,Special,Finished Airing,"Action, Comedy, Sci-Fi",Sunrise,Manga
185,Initial D First Stage,8.36,237.0,602,422631,26.0,1998.0,TV,Finished Airing,"Action, Drama","Gallop, Studio Comet",Manga
30,Shinseiki Evangelion,8.36,241.0,45,1956035,26.0,1995.0,TV,Finished Airing,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Gainax, Tatsunoko Production",Original
22789,Barakamon,8.36,242.0,325,698741,12.0,2014.0,TV,Finished Airing,Slice of Life,Kinema Citrus,Web manga
56524,Tunshi Xingkong 4th Season,8.35,255.0,9191,5017,123.0,,ONA,Currently Airing,"Action, Adventure, Fantasy, Sci-Fi",Sparkly Key Animation Studio,Novel
53540,Meitantei Conan Movie 26: Kurogane no Submarine,8.35,251.0,5591,17309,1.0,,Movie,Finished Airing,"Action, Mystery",TMS Entertainment,Manga
